time,open,high,low,close,Volume
1254700800,0.00076392,0.00120045,0.00076392,0.00115338,
1255305600,0.00110205,0.00124491,0.00110205,0.00122546,
1255910400,0.00124799,0.00128808,0.00121062,0.00128808,
1256515200,0.00126622,0.00128455,0.00121911,0.00121911,
1257120000,0.00125614,0.00130618,0.00125614,0.00126048,
1257724800,0.00126048,0.00135534,0.00123576,0.00123576,
1258329600,0.00118912,0.00118912,0.00105922,0.00105922,
1258934400,0.00100038,0.00100038,0.00082926,0.00082926,
1259539200,0.00082384,0.00082384,0.00073284,0.00073284,
1260144000,0.00071822,0.00071822,0.00061788,0.00061788,
1260748800,0.00061487,0.00063024,0.00061337,0.0006271,
1261353600,0.0006271,0.0006334,0.0006271,0.0006334,
1261958400,0.0006334,0.00071822,0.0006334,0.00071822,
1262563200,0.00071822,0.00071822,0.00071822,0.00071822,
1263168000,0.00071822,0.00283078,0.00071822,0.00280002,
1263772800,0.00294594,0.00325203,0.00273583,0.00325203,
1264377600,0.00325404,0.0033661,0.00318532,0.00329826,
1264982400,0.00329674,0.00373511,0.00329674,0.00373511,
1265587200,0.00379478,0.00405351,0.00379478,0.00405351,
1266192000,0.00414731,0.00466157,0.00414731,0.00466157,
1266796800,0.0047061,0.00529801,0.0047061,0.00529801,
1267401600,0.00539695,0.00547226,0.00539695,0.00547226,
1271635200,0.003,0.003,0.003,0.003,
1272240000,0.003,0.003,0.003,0.003,
1272844800,0.003,0.0043,0.003,0.0035,
1273449600,0.0039,0.0044,0.0039,0.004,
1274054400,0.0047,0.0049,0.0043,0.0045,
1274659200,0.0048,0.0048,0.0045,0.0045,
1275868800,0.0046,0.005,0.0045,0.005,
1276473600,0.005,0.005,0.005,0.005,
1277078400,0.005,0.0054,0.0044,0.0044,
1277683200,0.005,0.0068,0.0044,0.0068,
1278288000,0.0055,0.0084,0.0055,0.007,
1278892800,0.012,0.0925,0.01,0.08584,
1279497600,0.0909,0.09307,0.05049,0.0505,
1280102400,0.05,0.0699,0.05,0.0611,
1280707200,0.0625,0.065,0.057,0.0609,
1281312000,0.06091,0.07541,0.0593,0.06529,
1281916800,0.06319,0.0769,0.0612,0.066,
1282521600,0.066,0.06689,0.063,0.064,
1283126400,0.0646,0.069,0.03211,0.0616,
1283731200,0.0627,0.065,0.06014,0.0615,
1284336000,0.062,0.175,0.05761,0.0627,
1284940800,0.0621,0.0634,0.06147,0.062,
1285545600,0.06205,0.06271,0.061,0.06111,
1286150400,0.06119,0.1301,0.01,0.0965,
1286755200,0.091,0.119,0.065,0.102,
1287360000,0.103,0.19,0.094,0.11501,
1287964800,0.09009,0.199,0.09009,0.1925,
1288569600,0.1925,0.5,0.125,0.34,
1289174400,0.3459,0.37,0.14,0.27904,
1289779200,0.27904,0.29,0.2116,0.27675,
1290384000,0.27679,0.289,0.269,0.27,
1290988800,0.279,0.279,0.19,0.19,
1291593600,0.225,0.2477,0.1701,0.22,
1292198400,0.21,0.255,0.21,0.2401,
1292803200,0.2401,0.275,0.24,0.265,
1293408000,0.251,0.301,0.251,0.29997,
1294012800,0.29,0.323,0.289,0.323,
1294617600,0.32291,0.45,0.3175,0.38679,
1295222400,0.38679,0.4443,0.305,0.4424,
1295827200,0.4424,0.48,0.381,0.4799,
1296432000,0.47981,0.95,0.47,0.8975,
1297036800,0.89968,1.1,0.8,1.05,
1297641600,1.04,1.085,0.78009,0.85,
1298246400,0.8313,1,0.8313,0.89,
1298851200,0.89009,0.97,0.81,0.8999,
1299456000,0.87,0.9329,0.846,0.89249,
1300060800,0.89249,0.9,0.70999,0.74108,
1300665600,0.76145,0.905,0.7405,0.822,
1301270400,0.82,0.85,0.76,0.779,
1301875200,0.777,0.799,0.5619,0.7369,
1302480000,0.73752,1.14,0.7103,1.1123,
1303084800,1.13888,1.95,1.1103,1.6311,
